function,representation,crossover,fitness
drop_wave,binary,1-point,-8.472262132785901e-11
drop_wave,binary,1-point,-2.5530125318990237e-10
drop_wave,binary,1-point,-4.303300235953626e-11
drop_wave,binary,1-point,-4.036364239006096e-11
drop_wave,binary,1-point,-1.6348176012401619e-10
drop_wave,binary,1-point,-3.322680067016992e-10
drop_wave,binary,1-point,-8.745537236821825e-12
drop_wave,binary,1-point,-1.3644770393002504e-14
drop_wave,binary,1-point,-3.5584247362072327e-10
drop_wave,binary,1-point,-2.4987130898339537e-10
drop_wave,binary,1-point,-1.8621628869660507e-10
drop_wave,binary,1-point,-5.719059061069995e-10
drop_wave,binary,1-point,-1.451703459855027e-10
drop_wave,binary,1-point,-2.5559242494468467e-10
drop_wave,binary,1-point,-7.532720922663326e-12
drop_wave,binary,1-point,-3.046819012250376e-10
drop_wave,binary,1-point,-1.2351368285740552e-10
drop_wave,binary,1-point,-9.57141464234641e-10
drop_wave,binary,1-point,-5.3319292496495766e-12
drop_wave,binary,1-point,-1.9424518040117373e-13
drop_wave,binary,1-point,-3.9027702196177705e-12
drop_wave,binary,1-point,-6.258883910857868e-10
drop_wave,binary,1-point,-1.465418054132372e-12
drop_wave,binary,1-point,-2.5997991175726397e-10
drop_wave,binary,1-point,-1.0698799381838588e-11
drop_wave,binary,1-point,-2.6987660498327314e-10
drop_wave,binary,1-point,-6.07953986027883e-12
drop_wave,binary,1-point,-5.707531496013192e-10
drop_wave,binary,1-point,-6.416781669951229e-11
drop_wave,binary,1-point,-3.976254012213039e-10
drop_wave,binary,2-point,-1.0278457929703728e-11
drop_wave,binary,2-point,-2.7578190129664706e-10
drop_wave,binary,2-point,-4.224166984323596e-11
drop_wave,binary,2-point,-1.6291640779240728e-12
drop_wave,binary,2-point,-4.3707442378906277e-13
drop_wave,binary,2-point,-2.9313968607291646e-11
drop_wave,binary,2-point,-1.5984274848705858e-09
drop_wave,binary,2-point,-1.5696457164664917e-11
drop_wave,binary,2-point,-1.353177168305888e-11
drop_wave,binary,2-point,-5.318616849068567e-11
drop_wave,binary,2-point,-8.919494716449014e-10
drop_wave,binary,2-point,-8.889106832968133e-10
drop_wave,binary,2-point,-2.760034992030494e-09
drop_wave,binary,2-point,-8.33360890711101e-09
drop_wave,binary,2-point,-5.323717745077702e-10
drop_wave,binary,2-point,-6.224384054602871e-12
drop_wave,binary,2-point,-1.215996877164873e-10
drop_wave,binary,2-point,-1.3309851366522457e-10
drop_wave,binary,2-point,-3.761693919613419e-12
drop_wave,binary,2-point,-3.178615052825538e-10
drop_wave,binary,2-point,-8.745537236821825e-12
drop_wave,binary,2-point,-2.0752553249547033e-11
drop_wave,binary,2-point,-6.265660705550833e-10
drop_wave,binary,2-point,-1.150802541672386e-11
drop_wave,binary,2-point,-8.403038004074705e-10
drop_wave,binary,2-point,-1.5692864489513995e-11
drop_wave,binary,2-point,-8.552345726250298e-10
drop_wave,binary,2-point,-1.1535894021285725e-11
drop_wave,binary,2-point,-4.3401186231879767e-10
drop_wave,binary,2-point,-7.023314639146119e-11
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-4.733302720861841e-15
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-5.2583849824660045e-08
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-1.5741653920688137e-15
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-3.7747479488553954e-11
drop_wave,real,arithmetic,-2.4220171486193406e-13
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-2.9489437481715346e-14
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-0.0
drop_wave,real,arithmetic,-4.5812110945865475e-14
drop_wave,real,blx-alpha,-6.3985953878673464e-15
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-1.981780195574644e-14
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-9.865472095802648e-13
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-2.3010629458331e-12
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-6.238941820099004e-13
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-2.5680475540552463e-16
drop_wave,real,blx-alpha,-6.188834852642587e-16
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-2.4806105946268446e-12
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-1.7813698416852256e-19
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-1.967717689883874e-14
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-3.5644992695444497e-16
drop_wave,real,blx-alpha,-0.0
drop_wave,real,blx-alpha,-6.374711782272556e-22
drop_wave,real,blx-alpha,-5.459800846356157e-17
eggholder,binary,1-point,1049.131623504493
eggholder,binary,1-point,787.6342830443411
eggholder,binary,1-point,894.5772400119731
eggholder,binary,1-point,894.5762458714689
eggholder,binary,1-point,1049.0689767212996
eggholder,binary,1-point,1049.131623504493
eggholder,binary,1-point,1049.101484109062
eggholder,binary,1-point,1031.7417279399651
eggholder,binary,1-point,1048.9129205769718
eggholder,binary,1-point,894.5523780895859
eggholder,binary,1-point,943.5129301092004
eggholder,binary,1-point,894.546435765759
eggholder,binary,1-point,894.5784293037245
eggholder,binary,1-point,894.5787765872687
eggholder,binary,1-point,957.604774308566
eggholder,binary,1-point,983.0728275574093
eggholder,binary,1-point,1049.0540059788707
eggholder,binary,1-point,1048.9423215195475
eggholder,binary,1-point,894.5523780895859
eggholder,binary,1-point,936.6098520575147
eggholder,binary,1-point,897.2839329823291
eggholder,binary,1-point,894.5787110870631
eggholder,binary,1-point,1049.131623504493
eggholder,binary,1-point,894.5628872760558
eggholder,binary,1-point,951.7472606670128
eggholder,binary,1-point,894.5786881029587
eggholder,binary,1-point,894.5785617304607
eggholder,binary,1-point,890.4840067288845
eggholder,binary,1-point,1021.4681663910563
eggholder,binary,1-point,894.5788414736812
eggholder,binary,2-point,949.0554410029608
eggholder,binary,2-point,825.8965252348182
eggholder,binary,2-point,1049.0707803870232
eggholder,binary,2-point,1049.0689767212996
eggholder,binary,2-point,894.5761795155631
eggholder,binary,2-point,1049.1166243453422
eggholder,binary,2-point,894.5494391818911
eggholder,binary,2-point,858.0235702501603
eggholder,binary,2-point,911.4933025600553
eggholder,binary,2-point,974.286405158133
eggholder,binary,2-point,1049.0062757279557
eggholder,binary,2-point,1042.0072501449001
eggholder,binary,2-point,894.5785670568939
eggholder,binary,2-point,953.0756571675003
eggholder,binary,2-point,1048.9927122571276
eggholder,binary,2-point,828.0160924004726
eggholder,binary,2-point,894.5685445476065
eggholder,binary,2-point,959.6311732376464
eggholder,binary,2-point,965.991483100833
eggholder,binary,2-point,927.3412784053069
eggholder,binary,2-point,1048.9752829036875
eggholder,binary,2-point,943.5684248579116
eggholder,binary,2-point,1049.101484109062
eggholder,binary,2-point,1020.9212088553735
eggholder,binary,2-point,968.726183908793
eggholder,binary,2-point,919.0967387882945
eggholder,binary,2-point,971.5483502712927
eggholder,binary,2-point,1001.5028125540489
eggholder,binary,2-point,1049.131623504493
eggholder,binary,2-point,894.551986435056
eggholder,real,arithmetic,1092.132579817872
eggholder,real,arithmetic,1092.2110691121463
eggholder,real,arithmetic,1091.8905514555213
eggholder,real,arithmetic,1091.9278512051674
eggholder,real,arithmetic,1092.1527770578934
eggholder,real,arithmetic,1092.002540725323
eggholder,real,arithmetic,1091.6072648916193
eggholder,real,arithmetic,1091.9905057009694
eggholder,real,arithmetic,1091.970911303848
eggholder,real,arithmetic,1092.000250996059
eggholder,real,arithmetic,1091.5399678005276
eggholder,real,arithmetic,1092.0353440238953
eggholder,real,arithmetic,1091.6116612346486
eggholder,real,arithmetic,1092.148964895959
eggholder,real,arithmetic,1092.1660105829014
eggholder,real,arithmetic,1091.8851301057582
eggholder,real,arithmetic,1090.663326924654
eggholder,real,arithmetic,1092.1767202478222
