 REQUIREMENT 2: DSL GRAMMAR & PIF
============================================================
[OK] DSL Grammar is LL(1). Parsing 'pif.txt'...
PIF parsed successfully!

Index      Symbol               Father     Sibling   
-------------------------------------------------------
1          program              0          0
2          stmt_list            1          0
3          stmt                 2          4
4          stmt_list            2          0
5          INPUT                3          6
6          ID                   3          0
7          stmt                 4          8
8          stmt_list            4          0
9          INPUT                7          10
10         ID                   7          0
11         stmt                 8          12
12         stmt_list            8          0
13         OUTPUT               11         14
14         output_item          11         15
15         output_item_list     11         0
16         stmt                 12         17
17         stmt_list            12         0
18         STRING_LITERAL       14         0
19         epsilon              15         0
20         ID                   16         21
21         id_sub_stmt          16         0
22         stmt                 17         23
23         stmt_list            17         0
24         =                    21         25
25         expression           21         0
26         ID                   22         27
27         id_sub_stmt          22         0
28         stmt                 23         29
29         stmt_list            23         0
30         term                 25         31
31         expression_rest      25         0
32         =                    27         33
33         expression           27         0
34         OUTPUT               28         35
35         output_item          28         36
36         output_item_list     28         0
37         stmt                 29         38
38         stmt_list            29         0
39         ID                   30         40
40         term_tail            30         0
41         operator             31         42
42         term                 31         43
43         expression_rest      31         0
44         term                 33         45
45         expression_rest      33         0
46         STRING_LITERAL       35         0
47         ,                    36         48
48         output_item          36         49
49         output_item_list     36         0
50         OUTPUT               37         51
51         output_item          37         52
52         output_item_list     37         0
53         stmt                 38         54
54         stmt_list            38         0
55         fact_opt             40         0
56         A                    41         0
57         ID                   42         58
58         term_tail            42         0
59         epsilon              43         0
60         ID                   44         61
61         term_tail            44         0
62         operator             45         63
63         term                 45         64
64         expression_rest      45         0
65         expression           48         0
66         epsilon              49         0
67         STRING_LITERAL       51         0
68         ,                    52         69
69         output_item          52         70
70         output_item_list     52         0
71         IF                   53         72
72         condition            53         73
73         THEN                 53         74
74         stmt_list            53         75
75         else_part            53         76
76         END                  53         0
77         epsilon              54         0
78         epsilon              55         0
79         fact_opt             58         0
80         fact_opt             61         0
81         C                    62         0
82         ID                   63         83
83         term_tail            63         0
84         epsilon              64         0
85         term                 65         86
86         expression_rest      65         0
87         expression           69         0
88         epsilon              70         0
89         expression           72         90
90         comparison_op        72         91
91         expression           72         0
92         stmt                 74         93
93         stmt_list            74         0
94         ELSE                 75         95
95         stmt_list            75         0
96         epsilon              79         0
97         epsilon              80         0
98         fact_opt             83         0
99         ID                   85         100
100        term_tail            85         0
101        epsilon              86         0
102        term                 87         103
103        expression_rest      87         0
104        term                 89         105
105        expression_rest      89         0
106        >                    90         0
107        term                 91         108
108        expression_rest      91         0
109        OUTPUT               92         110
110        output_item          92         111
111        output_item_list     92         0
112        epsilon              93         0
113        stmt                 95         114
114        stmt_list            95         0
115        epsilon              98         0
116        fact_opt             100        0
117        ID                   102        118
118        term_tail            102        0
119        epsilon              103        0
120        ID                   104        121
121        term_tail            104        0
122        epsilon              105        0
123        ID                   107        124
124        term_tail            107        0
125        epsilon              108        0
126        STRING_LITERAL       110        0
127        epsilon              111        0
128        OUTPUT               113        129
129        output_item          113        130
130        output_item_list     113        0
131        epsilon              114        0
132        epsilon              116        0
133        fact_opt             118        0
134        fact_opt             121        0
135        fact_opt             124        0
136        STRING_LITERAL       129        0
137        epsilon              130        0
138        epsilon              133        0
139        epsilon              134        0
140        epsilon              135        0
